Date,Open,High,Low,Close,Adj Close,Volume
2023-08-28,108.449997,110.040001,108.440002,109.160004,107.174805,10382100
2023-08-29,109.660004,110.019997,108.419998,109.809998,107.812981,9665000
2023-08-30,110.440002,111.139999,109.980003,110.879997,108.863518,11922100
2023-08-31,111.120003,111.419998,110.620003,111.190002,109.167885,17479800
2023-09-01,112.199997,113.820000,112.199997,113.519997,111.455513,14828400
2023-09-05,114.099998,115.830002,113.500000,113.529999,111.465332,18304000
2023-09-06,113.480003,114.589996,113.230003,114.510002,112.427513,13325500
2023-09-07,114.650002,115.849998,113.699997,113.949997,111.877686,13248500
2023-09-08,114.529999,116.050003,114.320000,115.610001,113.507507,14283200
2023-09-11,116.180000,116.680000,113.570000,114.160004,112.083878,14383600
2023-09-12,115.339996,117.669998,115.269997,117.489998,115.353317,20145800
2023-09-13,117.410004,117.959999,115.900002,116.440002,114.322411,13472800
2023-09-14,117.550003,118.660004,117.330002,118.519997,116.364578,15210700
2023-09-15,117.900002,118.510002,116.500000,116.699997,114.577682,34545100
2023-09-18,117.529999,118.239998,116.699997,117.639999,115.500587,14045300
2023-09-19,118.620003,118.839996,116.610001,117.330002,115.196228,12562900
2023-09-20,116.540001,118.019997,116.320000,116.400002,114.283134,11879900
2023-09-21,116.980003,117.370003,114.599998,114.760002,112.672966,14400600
2023-09-22,115.709999,116.680000,114.809998,114.940002,112.849686,13197300
2023-09-25,115.089996,116.650002,114.830002,116.230003,114.116234,11316000
2023-09-26,115.500000,116.730003,115.370003,116.410004,114.292953,11805400
2023-09-27,117.889999,120.500000,117.400002,120.199997,118.014030,23976200
2023-09-28,119.980003,120.699997,118.190002,119.470001,117.297310,16808100
2023-09-29,119.099998,119.180000,116.730003,117.580002,115.441681,18810700
2023-10-02,117.529999,117.790001,114.550003,115.629997,113.527138,14395000
2023-10-03,115.440002,116.440002,115.029999,115.830002,113.723503,13297100
2023-10-04,114.050003,114.089996,110.500000,111.500000,109.472252,19622200
2023-10-05,109.800003,110.900002,108.699997,108.989998,107.007896,20128800
2023-10-06,105.730003,108.269997,105.110001,107.169998,105.220993,25363400
2023-10-09,110.440002,112.070000,109.519997,110.919998,108.902794,22369900
2023-10-10,111.019997,111.449997,110.120003,110.449997,108.441338,13892000
2023-10-11,106.959999,107.169998,104.830002,106.489998,104.553360,57939000
2023-10-12,107.589996,107.839996,106.089996,106.470001,104.533722,31183000
2023-10-13,108.029999,110.199997,107.839996,109.870003,107.871895,30276500
2023-10-16,110.500000,110.680000,109.129997,109.949997,107.950432,18452000
2023-10-17,109.730003,111.800003,109.680000,111.389999,109.364250,19775400
2023-10-18,111.820000,113.389999,111.699997,112.949997,110.895874,23380300
2023-10-19,112.720001,113.970001,111.330002,113.019997,110.964607,20972500
2023-10-20,112.919998,113.320000,110.790001,111.080002,109.059891,22439800
2023-10-23,110.629997,110.959999,108.680000,109.449997,107.459526,18185000
2023-10-24,109.699997,109.820000,108.120003,108.389999,106.418808,16786100
2023-10-25,108.519997,109.500000,108.129997,108.589996,106.615166,22047300
2023-10-26,107.449997,108.339996,106.500000,107.599998,105.643173,18768300
2023-10-27,108.889999,109.860001,104.959999,105.550003,103.630463,23092000
2023-10-30,105.739998,106.419998,105.209999,105.879997,103.954453,19379900
2023-10-31,105.580002,106.160004,104.540001,105.849998,103.925003,22185200
2023-11-01,106.529999,107.169998,105.459999,105.639999,103.718819,28984900
2023-11-02,105.879997,109.190002,105.500000,109.110001,107.125717,25212700
2023-11-03,108.400002,108.779999,106.540001,107.779999,105.819901,30549000
2023-11-06,108.169998,108.269997,105.769997,105.870003,103.944641,19097300
2023-11-07,104.470001,104.860001,103.290001,104.209999,102.314819,20272500
2023-11-08,103.730003,104.900002,102.889999,102.930000,101.058105,19184100
2023-11-09,103.669998,103.970001,102.860001,102.959999,101.087555,18380500
2023-11-10,103.930000,104.410004,102.910004,103.750000,101.863197,17825500
2023-11-13,104.050003,105.139999,103.809998,104.839996,102.933365,15308400
2023-11-14,104.300003,104.820000,103.870003,104.290001,103.329689,18260500
2023-11-15,103.959999,105.150002,103.500000,103.660004,102.705490,20137600
2023-11-16,102.900002,103.269997,101.150002,102.459999,101.516541,22469100
2023-11-17,103.059998,105.430000,102.750000,104.959999,103.993515,22984900
2023-11-20,105.379997,105.879997,104.430000,104.500000,103.537758,17458800
2023-11-21,104.209999,104.699997,103.220001,104.459999,103.498123,14989000
2023-11-22,102.580002,104.120003,101.940002,104.010002,103.052269,18072000
2023-11-24,104.019997,105.470001,103.910004,104.570000,103.607109,9480800
2023-11-27,104.099998,104.400002,103.180000,103.959999,103.002724,18013500
2023-11-28,104.239998,104.910004,103.879997,103.900002,102.943283,20629500
2023-11-29,104.269997,104.580002,101.639999,102.339996,101.397644,26802100
2023-11-30,103.110001,104.480003,101.809998,102.739998,101.793961,29254700
2023-12-01,102.500000,104.220001,102.220001,102.989998,102.041656,17843200
2023-12-04,102.129997,103.360001,101.589996,102.430000,101.486816,21523900
2023-12-05,102.269997,102.339996,100.290001,100.440002,99.515144,22250300
2023-12-06,100.000000,100.720001,98.339996,99.110001,98.197388,31154800
2023-12-07,99.860001,100.839996,98.089996,98.419998,97.513741,29990700
2023-12-08,99.019997,99.790001,98.750000,99.550003,98.633339,22069200
2023-12-11,99.800003,99.860001,98.580002,99.620003,98.702690,22252300
2023-12-12,98.680000,98.680000,97.480003,98.050003,97.147148,26084000
2023-12-13,98.040001,99.029999,97.660004,98.919998,98.009132,19915400
2023-12-14,99.849998,102.139999,99.720001,101.580002,100.644646,26165700
2023-12-15,100.589996,101.000000,100.309998,100.900002,99.970909,55518700
2023-12-18,102.129997,103.110001,101.519997,101.650002,100.713997,21610400
2023-12-19,102.000000,103.190002,101.790001,102.989998,102.041656,18904700
2023-12-20,103.500000,103.940002,101.129997,101.269997,100.337494,20988900
2023-12-21,101.470001,102.010002,100.809998,101.730003,100.793266,19250900
2023-12-22,102.309998,102.940002,101.820000,101.910004,100.971611,12921800
2023-12-26,102.739998,103.029999,102.120003,102.139999,101.199486,16835100
2023-12-27,102.040001,102.550003,101.339996,101.660004,100.723907,14558800
2023-12-28,101.389999,101.610001,100.129997,100.190002,99.267441,16329300
2023-12-29,100.370003,100.589996,99.620003,99.980003,99.059380,17741400
2024-01-02,100.919998,103.099998,100.849998,102.360001,101.417458,23483000
2024-01-03,102.269997,103.620003,101.660004,103.220001,102.269547,23490800
2024-01-04,104.080002,104.570000,102.050003,102.320000,101.377831,19395200
2024-01-05,103.169998,103.400002,102.129997,102.629997,101.684975,15825000
2024-01-08,100.730003,101.040001,98.900002,100.919998,99.990715,23370100
2024-01-09,101.290001,101.290001,99.190002,99.669998,98.752228,19496600
2024-01-10,99.800003,99.800003,98.160004,98.690002,97.781258,18206100
2024-01-11,99.040001,99.500000,98.559998,98.669998,97.761436,15833400
2024-01-12,100.139999,100.650002,99.169998,99.949997,99.029648,18032100
2024-01-16,99.820000,100.010002,97.529999,97.690002,96.790466,20235700
2024-01-17,96.599998,97.959999,96.580002,96.980003,96.087006,18384000
2024-01-18,97.000000,97.089996,95.820000,96.800003,95.908661,20940300
2024-01-19,96.720001,97.019997,96.410004,96.949997,96.057274,20079300
2024-01-22,96.699997,97.099998,95.769997,96.820000,95.928474,19955900
2024-01-23,96.809998,98.500000,96.730003,97.910004,97.008438,15863400
2024-01-24,98.320000,99.650002,97.739998,99.599998,98.682877,17330600
2024-01-25,100.309998,102.180000,99.620003,102.129997,101.189575,22089500
2024-01-26,101.970001,103.080002,101.190002,103.000000,102.051567,20817200
2024-01-29,102.980003,103.199997,101.860001,103.129997,102.180367,18317500
2024-01-30,102.410004,104.879997,102.099998,104.849998,103.884529,19610900
2024-01-31,104.739998,104.879997,102.769997,102.809998,101.863312,22415300
2024-02-01,103.570000,104.010002,101.620003,102.389999,101.447182,19240700
2024-02-02,103.750000,104.000000,101.610001,101.970001,101.031052,21968200
2024-02-05,101.449997,102.379997,100.500000,101.550003,100.614922,17190900
2024-02-06,102.070000,103.040001,101.570000,102.250000,101.308472,13347900
2024-02-07,102.250000,102.730003,101.180000,102.220001,101.278748,13826800
2024-02-08,102.339996,104.419998,102.110001,103.970001,103.012634,19636900
2024-02-09,104.099998,104.839996,101.699997,101.769997,100.832893,20410500
2024-02-12,102.160004,103.400002,102.000000,103.169998,102.220001,18173100
2024-02-13,102.760002,103.089996,100.599998,101.339996,101.339996,18917400
2024-02-14,101.870003,102.620003,100.419998,100.839996,100.839996,17651300
2024-02-15,100.599998,103.940002,100.599998,103.730003,103.730003,23196300
2024-02-16,104.010002,104.629997,103.519997,103.730003,103.730003,20146700
2024-02-20,103.839996,104.120003,102.650002,102.750000,102.750000,17650000
2024-02-21,103.019997,104.980003,102.989998,104.849998,104.849998,20999200
2024-02-22,104.160004,105.410004,103.449997,104.760002,104.760002,20470700
2024-02-23,103.879997,104.089996,102.879997,103.839996,103.839996,15975900
2024-02-26,103.720001,104.940002,103.050003,104.250000,104.250000,13360800
2024-02-27,104.680000,105.150002,103.849998,104.029999,104.029999,16360000
2024-02-28,104.470001,105.430000,104.000000,104.320000,104.320000,14810500
2024-02-29,104.680000,105.070000,104.220001,104.519997,104.519997,17566100
2024-03-01,105.720001,106.389999,105.379997,105.839996,105.839996,18459500
2024-03-04,105.660004,105.849998,104.029999,104.360001,104.360001,18138000
2024-03-05,104.529999,106.269997,104.320000,105.639999,105.639999,19952700
2024-03-06,106.620003,107.570000,106.150002,106.769997,106.769997,20472800
2024-03-07,106.599998,107.980003,106.599998,107.370003,107.370003,15195400
2024-03-08,107.230003,108.400002,106.769997,108.379997,108.379997,16274600
2024-03-11,108.250000,109.120003,107.339996,109.019997,109.019997,17577300
2024-03-12,109.059998,109.279999,108.029999,108.320000,108.320000,14957200
2024-03-13,109.139999,110.349998,109.110001,109.529999,109.529999,17122200
2024-03-14,109.830002,111.550003,109.690002,111.470001,111.470001,22121000
2024-03-15,110.849998,112.300003,110.849998,111.269997,111.269997,38263900
2024-03-18,111.790001,112.860001,111.099998,112.300003,112.300003,16770500
2024-03-19,112.220001,113.489998,112.059998,113.089996,113.089996,14878800
2024-03-20,112.720001,113.400002,112.129997,112.989998,112.989998,16119700
2024-03-21,112.919998,113.910004,112.570000,113.489998,113.489998,14878000
2024-03-22,113.480003,113.690002,112.820000,113.489998,113.489998,14695400
2024-03-25,113.830002,115.779999,113.830002,114.650002,114.650002,14011700
2024-03-26,114.660004,114.980003,113.410004,113.790001,113.790001,13152300
2024-03-27,113.480003,115.059998,113.410004,114.970001,114.970001,12415700
2024-03-28,115.529999,116.449997,115.059998,116.239998,116.239998,18482100
2024-04-01,116.410004,117.239998,115.379997,116.989998,116.989998,13817000
2024-04-02,117.919998,119.599998,117.330002,119.279999,119.279999,19919600
2024-04-03,119.480003,119.750000,118.730003,119.300003,119.300003,16504300
2024-04-04,119.050003,119.879997,118.639999,119.720001,119.720001,18467400
2024-04-05,119.980003,122.150002,119.639999,121.370003,121.370003,21714100
2024-04-08,121.080002,121.739998,120.209999,120.550003,120.550003,17513900
2024-04-09,121.000000,121.650002,120.339996,121.180000,121.180000,14135700
2024-04-10,121.220001,122.470001,120.730003,122.199997,122.199997,17409200
2024-04-11,122.690002,122.690002,120.339996,121.790001,121.790001,17555900
2024-04-12,122.949997,123.750000,119.669998,120.370003,120.370003,21539500
2024-04-15,121.089996,121.690002,119.449997,119.680000,119.680000,15029500
2024-04-16,119.559998,120.220001,117.919998,118.690002,118.690002,18082200
2024-04-17,118.550003,119.349998,117.120003,118.629997,118.629997,14538600
2024-04-18,119.000000,119.720001,117.970001,118.519997,118.519997,13821400
2024-04-19,119.160004,120.930000,118.949997,119.879997,119.879997,21566500
2024-04-22,119.260002,121.570000,118.430000,120.559998,120.559998,16340700
2024-04-23,120.000000,121.059998,119.449997,121.029999,121.029999,13929800
2024-04-24,120.300003,121.260002,119.389999,121.050003,121.050003,12101200
2024-04-25,121.029999,121.760002,119.400002,121.330002,121.330002,16027300
2024-04-26,119.000000,119.099998,116.220001,118.754997,118.754997,19960701
